address,Time of first deposit on Arbitrum mainnet,Amount of first deposit on Arbitrum mainnet,Last transaction time on Arbitrum mainnet,,,,,,,,,,,,,,,,,,,,,,
0xe039d707b4466c953dc6ece8658696b8657ee62a,2023-07-01 16:56:50.000 UTC,0.03,2023-10-09 04:02:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x760af18a3e5fe5d41fe5c69d5dd88437a775a872,2023-07-01 16:58:18.000 UTC,0.03,2023-10-09 04:02:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xfb2bccfba27d1b52f9e40bbf72564167dba2921f,2023-07-01 16:58:33.000 UTC,0.03,2023-10-09 04:02:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x0044cc1c8371611629e0fdb9a4f4013b3475ff7e,2023-07-01 16:58:55.000 UTC,0.03,2023-10-09 04:03:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x7c4bea04dbc98c6925ab797046b69ddb54758982,2023-07-01 16:59:20.000 UTC,0.03,2023-10-09 04:02:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x08e249ad3104a89dd6fe297c6f6a5261ef76201d,2023-07-02 11:33:24.000 UTC,0.03,2023-10-09 04:10:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x3bd5815b49f885cfff1141225278e53013bac187,2023-07-02 11:33:44.000 UTC,0.03,2023-10-09 04:10:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x559c7920436322674b3135cb26eac06f0ec12cb2,2023-07-02 11:34:02.000 UTC,0.03,2023-10-09 04:10:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x6fc121b4f0d119de3ce7049c81e5086d0d4e7633,2023-07-02 11:36:22.000 UTC,0.03,2023-10-09 04:10:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xae56686051f40f09a20cac28820a35f31b83b84b,2023-07-02 11:36:52.000 UTC,0.03,2023-10-09 05:04:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x8a5b9bd9a0f8a5d846861ead704ce04092296d9c,2023-07-02 11:37:14.000 UTC,0.03,2023-10-09 05:04:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x9a004116997f28d857c539ff0fd6a69dc6bab053,2023-07-02 11:37:55.000 UTC,0.03,2023-10-09 05:04:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x9d327c89ccc05bdb791284bcfd5f4a1aaa5d5e40,2023-07-02 11:38:13.000 UTC,0.03,2023-10-09 05:04:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x08b21d832cb2f106fe255cc2d75e1eb717235e4f,2023-07-02 11:38:33.000 UTC,0.03,2023-10-09 05:04:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x389ac05c31e3cdf6083249051fdc0b45103d9169,2023-07-02 11:43:06.000 UTC,0.03,2023-10-09 05:11:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x1e60fc7c9e4817bd962e3398297999a9458626e2,2023-07-02 11:43:25.000 UTC,0.03,2023-10-09 05:11:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x4e6abec013d25fa743e3cf44d6ce6e8c07e383af,2023-07-02 11:43:45.000 UTC,0.03,2023-10-09 05:11:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xfb49f23438a9aab7101035cadb6739b4b7ee59e6,2023-07-02 11:44:55.000 UTC,0.03,2023-10-09 05:11:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x7e8f04d98d231fbd8ab30754f78cfb5b9c96f1f5,2023-07-02 11:45:18.000 UTC,0.03,2023-10-09 06:18:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x69c999c60e6e70e538b6a48e6e11d4cc26ab39ec,2023-07-02 11:45:37.000 UTC,0.03,2023-10-09 06:18:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x624e547ad6b217a08dece7acc41111efa9a073da,2023-07-02 11:46:07.000 UTC,0.03,2023-10-09 06:18:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x68d86108631b4396eb03bb0dcf11d1d6114c539a,2023-07-02 11:46:26.000 UTC,0.03,2023-10-09 06:18:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xaec009f17a8897b6bcbc985495dea37a8ffeee90,2023-07-02 11:46:55.000 UTC,0.03,2023-10-09 06:18:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x4ffb6a44a5651a188caf46c0666be91b06abb5b8,2023-07-02 11:50:15.000 UTC,0.03,2023-10-09 06:23:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x80745d04cb7bafaebb5b589185991544250aaaa1,2023-07-02 11:50:32.000 UTC,0.03,2023-10-09 06:23:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x0b40de386137119ae143a8cb5533605a89521d9c,2023-07-02 11:50:52.000 UTC,0.03,2023-10-09 06:23:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x5578229ac8a96677af7b6387a98c734118f7b79c,2023-07-02 11:51:10.000 UTC,0.03,2023-10-09 06:23:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x2ca718590c4b887ea3cb8c8415d9670b46e6c076,2023-07-02 11:51:33.000 UTC,0.03,2023-10-09 06:28:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xeb3ad88d36b1b77c1fdf158238f4cd7a3dcef0c0,2023-07-02 11:51:52.000 UTC,0.03,2023-10-09 06:29:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x7e43cd77fcc0ce8039355a355a624522099a29af,2023-07-02 11:52:12.000 UTC,0.03,2023-10-09 06:28:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x8063fded85c667eff949bc57c99f2d184594d222,2023-07-02 11:52:31.000 UTC,0.03,2023-10-09 06:29:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x055d059eb543cad9ee470c468eaa9a36a7beff06,2023-07-02 11:52:56.000 UTC,0.03,2023-10-09 06:28:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xa93470adeb98432748b59a1a6764b73511d59945,2023-07-02 11:55:10.000 UTC,0.03,2023-10-09 06:35:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x26911b27e56e4c177471feb2b6255774fe2412cc,2023-07-02 11:55:30.000 UTC,0.03,2023-10-09 06:35:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb1ec56817c639d73123a45708d47f7e5da2621da,2023-07-02 11:56:59.000 UTC,0.03,2023-10-09 06:41:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x23aebe2fb120c9c93b61c27015d05cd13d631003,2023-07-02 11:57:32.000 UTC,0.03,2023-10-09 06:42:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x190277be9ea1d102577eedd922706581f83047b4,2023-07-02 11:58:10.000 UTC,0.03,2023-10-09 06:42:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd9372ba9540f0b61fb669d8f552c961be579caf6,2023-07-02 11:58:33.000 UTC,0.03,2023-10-09 06:42:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xcfc29077c0ee485446575234209e3a2744de36bc,2023-07-02 11:59:06.000 UTC,0.03,2023-10-09 06:42:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb4b1815be50313c1bc80b86229bca2538304ac83,2023-07-02 12:01:31.000 UTC,0.03,2023-10-09 06:49:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xac64a82b14f99f93de7c7a008814d955e1b0188f,2023-07-02 12:01:52.000 UTC,0.03,2023-10-09 06:48:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x0663dc30d2806066f3deeed7dc90de69d6f572e9,2023-07-02 12:02:12.000 UTC,0.03,2023-10-09 06:49:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xbb692988bd4948b2e0b7ffdfe165e7edeff4b836,2023-07-02 12:02:28.000 UTC,0.03,2023-10-09 06:48:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x2bf9dd62ccfa89369e14c737dbae10c2b46ef06d,2023-07-02 12:02:59.000 UTC,0.03,2023-10-09 07:00:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x550b3adced4f8a53468fc5157f231b20b1d53066,2023-07-02 12:03:15.000 UTC,0.03,2023-10-09 07:00:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd96a7afe2542acc1eda52f15ec5a6fd13ee65aa0,2023-07-02 12:04:06.000 UTC,0.03,2023-10-09 07:00:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x3d1af250592364261233299108b91bfae6e7b21b,2023-07-02 12:04:23.000 UTC,0.03,2023-10-09 07:00:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd9291c53c49a0f7000f1168d6e8b2fc694333979,2023-07-02 12:04:41.000 UTC,0.03,2023-10-09 07:00:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x4ca1e7460d404917cbdbca6ba3aa381e42466613,2023-07-02 12:07:01.000 UTC,0.03,2023-10-18 01:53:23.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xaf534bd83310a01ab1a0bc621229dc4ea36974bb,2023-07-02 12:07:21.000 UTC,0.03,2023-10-18 01:53:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xfffef4587dad2641b307234a1c4429f47a4c16a4,2023-07-02 12:07:41.000 UTC,0.03,2023-10-18 01:52:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xdc3864b80f5513370edd95459d907af4a312319c,2023-07-02 12:08:07.000 UTC,0.03,2023-10-18 03:35:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x22d7eb40243e06955b1b3d5a7345d139fb58085b,2023-07-02 12:08:24.000 UTC,0.03,2023-10-18 03:36:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xe36367e8188347619bc64fa143c5f5333eb10ae5,2023-07-02 12:08:51.000 UTC,0.03,2023-10-18 03:37:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x017596edbd8f37705a7c8f9d14510ca833167ccf,2023-07-02 12:09:10.000 UTC,0.03,2023-10-18 03:38:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x3080d7b87daa2d9d73785c9ccc4e20094793cb46,2023-07-02 12:09:36.000 UTC,0.03,2023-10-18 03:36:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb6d65924acb5abd2feff52934a377c56e281c4f2,2023-07-02 12:12:10.000 UTC,0.03,2023-10-09 07:17:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x1c04849d7cb7cc6f91f381c854fc34ed3c1e30fd,2023-07-02 12:12:31.000 UTC,0.03,2023-10-09 07:17:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xf2036e31c9dd8d9bc961d6e8321a665f866c5eca,2023-07-02 12:12:52.000 UTC,0.03,2023-10-09 07:17:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x262e6e751021be0696ed1c367b0495c4aa068e4e,2023-07-02 12:13:12.000 UTC,0.03,2023-10-09 07:17:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xebb0f5cc23e5e218d8a56992d91e797ff45fa980,2023-07-02 12:13:37.000 UTC,0.03,2023-10-09 07:27:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x18e9a013e8672ab93d885cca93a5e54a72581266,2023-07-02 12:14:09.000 UTC,0.03,2023-10-09 07:28:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x7bf1db2e639f7c07ab2ae2c7419d71fac87e1fd6,2023-07-02 12:14:31.000 UTC,0.03,2023-10-09 07:27:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x84439e5e312bb7d7b954a9c8fba785dc4a7a88bb,2023-07-02 12:14:53.000 UTC,0.03,2023-10-09 07:28:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x9154416ec1169899e1408ff0a7e29b9c11ede7c7,2023-07-02 12:15:14.000 UTC,0.03,2023-10-09 07:27:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd46d5bbc018db1c88b7998b21811d620c107e710,2023-07-02 12:17:55.000 UTC,0.03,2023-10-09 07:46:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xcd70e6235cd3379e5c87fec96c29693bec896ef8,2023-07-02 12:18:15.000 UTC,0.03,2023-10-09 07:45:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x884010a968b00d2427bf2d22aea70c6bd877eee0,2023-07-02 12:18:33.000 UTC,0.03,2023-10-09 07:46:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x91972212aaa73031d50037faf0e534abb7ae8d9d,2023-07-02 12:18:51.000 UTC,0.03,2023-10-09 07:45:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x8df6710a782fc2bcc302c0b3898c25189702cbe8,2023-07-02 12:19:15.000 UTC,0.03,2023-10-09 07:51:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x117b876d34c53bf6bcdc70884bd64b5e29653db2,2023-07-02 12:19:33.000 UTC,0.03,2023-10-09 07:51:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x66ba65d44a5fa87fde598847d7f3e68567e0c2ed,2023-07-02 12:20:09.000 UTC,0.03,2023-10-09 07:51:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x03398fe8baee0f13bc086d509a16e4be817480a5,2023-07-02 12:20:27.000 UTC,0.03,2023-10-09 07:51:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x5b8dcfd50d5927c0c50f835e9ff4dd4b4930f3be,2023-07-02 12:22:52.000 UTC,0.03,2023-10-09 07:58:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x8c79c69a2e792ad9d3cea56cef90d81214e6bf96,2023-07-02 12:23:13.000 UTC,0.03,2023-10-09 07:58:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xf2caa7ac30e064d87f442242f860c664385b68b4,2023-07-02 12:23:35.000 UTC,0.03,2023-10-09 07:58:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb59694abfab5a05379def5489b991563aa52a0ee,2023-07-02 12:23:57.000 UTC,0.03,2023-10-09 07:58:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x3ebdf290e0a0f6a0cebc0e0f5b17746568415832,2023-07-02 12:24:17.000 UTC,0.03,2023-10-09 08:03:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x613fa4bea05db8e0e906632ed71802a3a1423622,2023-07-02 12:24:43.000 UTC,0.03,2023-10-09 08:04:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x33036d4e501bb58bb65d460d8c6a99c320dce73f,2023-07-02 12:25:24.000 UTC,0.03,2023-10-09 08:03:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x547de3fa014df26d436531c30d71a66ffbb061b0,2023-07-02 12:25:42.000 UTC,0.03,2023-10-09 08:04:11.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb388d07e67c5db377e7b924278900186ef6756ba,2023-07-02 12:25:59.000 UTC,0.03,2023-10-09 08:03:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x346eb9f58ae085814a712520d6510f2f5ed001c5,2023-07-02 12:27:54.000 UTC,0.03,2023-10-09 08:18:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x69323ebc8fa182aee6cd2068c5061f6cd7a10e50,2023-07-02 12:28:13.000 UTC,0.03,2023-10-09 08:17:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x9ca35d5adf3aa90a0e897e5e3e2449bb41151060,2023-07-02 12:28:33.000 UTC,0.03,2023-10-09 08:18:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x0fa45a984959f4ac01e2fd5ccc88d52681017faa,2023-07-02 12:28:57.000 UTC,0.03,2023-10-09 08:17:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xd9a9a204087bd152c87302d42cf67e852a61a7c8,2023-07-02 12:29:27.000 UTC,0.03,2023-10-09 08:26:35.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xb632d38da0488d949413ecb4983b46a7c0a62df7,2023-07-02 12:29:53.000 UTC,0.03,2023-10-09 08:26:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0xbd44d9b7c02bd573e9e149cbe3677d5a497d99d5,2023-07-02 12:30:12.000 UTC,0.03,2023-10-09 08:26:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x13bfb564a1b04776769480eb477664290bbebe66,2023-07-02 12:30:32.000 UTC,0.03,2023-10-09 08:26:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x97023d5d0f59d70e8d1a04644009d792eb99821b,2023-07-02 12:30:51.000 UTC,0.03,2023-10-09 08:26:47.000 UTC,,,,,,,,,,,,,,,,,,,,,,
0x8b0b1caf1c239abd1b71791ff21ae942d8959e0d,2023-07-02 12:33:09.000 UTC,0.03,2023-10-09 08:36:59.000 UTC,,,,,,,,,,,,,,,,,,,,,,
